"filename", "language", "Markdown", "Docker", "Python", "reStructuredText", "YAML", "pip requirements", "Shell Script", "JSON", "Makefile", "comment", "blank", "total"
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\redis\config.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\redis\redis.py", "Python", 0, 0, 143, 0, 0, 0, 0, 0, 0, 94, 43, 280
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\swift\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\swift\config.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 15, 6, 31
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\swift\swift.py", "Python", 0, 0, 154, 0, 0, 0, 0, 0, 0, 82, 29, 265
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\cloud_proxy.py", "Python", 0, 0, 157, 0, 0, 0, 0, 0, 0, 25, 45, 227
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\storage.py", "Python", 0, 0, 197, 0, 0, 0, 0, 0, 0, 224, 61, 482
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\utils.py", "Python", 0, 0, 77, 0, 0, 0, 0, 0, 0, 63, 40, 180
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\main_util.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 16, 13, 46
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\test_call_async.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 15, 17, 69
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\test_map.py", "Python", 0, 0, 87, 0, 0, 0, 0, 0, 0, 15, 23, 125
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\test_map_reduce.py", "Python", 0, 0, 127, 0, 0, 0, 0, 0, 0, 22, 30, 179
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\test_storage.py", "Python", 0, 0, 252, 0, 0, 0, 0, 0, 0, 17, 42, 311
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\test_template.py", "Python", 0, 0, 29, 0, 0, 0, 0, 0, 0, 32, 20, 81
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\tests_main.py", "Python", 0, 0, 177, 0, 0, 0, 0, 0, 0, 25, 46, 248
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\util_func\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\util_func\map_reduce_util.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 3, 18
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\util_func\map_util.py", "Python", 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 24, 83
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\tests\util_func\storage_util.py", "Python", 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 18, 67
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\util\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\util\ibm_token_manager.py", "Python", 0, 0, 54, 0, 0, 0, 0, 0, 0, 10, 15, 79
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\util\joblib\__init__.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 5, 15
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\util\joblib\lithops_backend.py", "Python", 0, 0, 127, 0, 0, 0, 0, 0, 0, 36, 44, 207
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\util\metrics.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 9, 32
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\util\ssh_client.py", "Python", 0, 0, 76, 0, 0, 0, 0, 0, 0, 31, 26, 133
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\utils.py", "Python", 0, 0, 431, 0, 0, 0, 0, 0, 0, 75, 131, 637
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\version.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\wait.py", "Python", 0, 0, 191, 0, 0, 0, 0, 0, 0, 60, 49, 300
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\worker\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\worker\handler.py", "Python", 0, 0, 166, 0, 0, 0, 0, 0, 0, 33, 45, 244
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\worker\invoker.py", "Python", 0, 0, 53, 0, 0, 0, 0, 0, 0, 28, 19, 100
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\worker\jobrunner.py", "Python", 0, 0, 221, 0, 0, 0, 0, 0, 0, 37, 48, 306
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\worker\status.py", "Python", 0, 0, 99, 0, 0, 0, 0, 0, 0, 13, 30, 142
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\worker\utils.py", "Python", 0, 0, 153, 0, 0, 0, 0, 0, 0, 50, 50, 253
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\README.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\aliyun_fc\README.md", "Markdown", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 89
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\aliyun_fc\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\aws_lambda\README.md", "Markdown", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 90
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\code_engine\Dockerfile", "Docker", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 10, 43
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\code_engine\README.md", "Markdown", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 149
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\code_engine\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 28, 0, 0, 0, 15, 8, 51
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\gcp_cloudrun\Dockerfile", "Docker", 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 9, 47
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\gcp_cloudrun\README.md", "Markdown", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 165
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\gcp_functions\README.md", "Markdown", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 127
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\gcp_functions\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\ibm_cf\README.md", "Markdown", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 157
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\ibm_cf\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 24, 0, 0, 0, 17, 8, 49
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\ibm_vpc\README.md", "Markdown", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 78
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\ibm_vpc\build_lithops_vm_image.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 110, 0, 0, 9, 20, 139
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\knative\Dockerfile", "Docker", 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 10, 49
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\knative\README.md", "Markdown", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 154
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\kubernetes\Dockerfile", "Docker", 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 9, 40
"c:\Users\asus\Desktop\ADSL\lithops-master\runtime\kubernetes\README.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 130
"c:\Users\asus\Desktop\ADSL\lithops-master\setup.py", "Python", 0, 0, 88, 0, 0, 0, 0, 0, 0, 2, 8, 98
"Total", "-", 4333, 120, 18659, 1470, 138, 92, 110, 542, 9, 6350, 7981, 39804
